name			NZMean_1	NZcount_1	NZSigma_1	NZMean_2	NZcount_2	NZSigma_2	NZMean_3	NZcount_3	NZSigma_3	NZMean_4	NZcount_4	NZSigma_4	NZMean_5	NZcount_5	NZSigma_5	NZMean_6	NZcount_6	NZSigma_6	NZMean_7	NZcount_7	NZSigma_7	NZMean_8	NZcount_8	NZSigma_8	NZMean_9	NZcount_9	NZSigma_9	NZMean_10	NZcount_10	NZSigma_10	NZMean_11	NZcount_11	NZSigma_11	NZMean_12	NZcount_12	NZSigma_12	NZMean_13	NZcount_13	NZSigma_13	NZMean_15	NZcount_15	NZSigma_15	NZMean_16	NZcount_16	NZSigma_16	NZMean_17	NZcount_17	NZSigma_17	NZMean_18	NZcount_18	NZSigma_18	NZMean_19	NZcount_19	NZSigma_19
10124/060803163400/analysis/glm_hrf_coefs.nii.gz_0[Run#1Pol#]			99.882772	171	0.066877	99.942895	171	0.084773	99.872556	55	0.166976	99.866034	57	0.148587	99.797492	171	0.087375	99.906513	171	0.078218	99.955478	56	0.046093	99.988416	52	0.059020	99.899826	254	0.078121	100.007028	256	0.094917	99.982200	171	0.112720	99.958631	171	0.119193	99.810858	324	0.112726	99.950279	257	0.098834	99.940645	257	0.072088	99.919929	171	0.103625	99.957804	171	0.089184	99.921520	171	0.194415
10124/060803163400/analysis/glm_hrf_coefs.nii.gz_1[Run#1Pol#]			-0.213407	171	0.188331	-0.110100	171	0.098224	-0.340929	55	0.196486	-0.392056	57	0.146612	-0.343064	171	0.125653	-0.373763	171	0.192972	-0.280638	56	0.065277	-0.402175	52	0.154019	-0.198193	254	0.116472	-0.200303	256	0.255106	-0.225057	171	0.151780	-0.238757	171	0.132329	-0.090209	324	0.264115	-0.255460	257	0.159033	-0.219877	257	0.171943	0.139380	171	0.260182	-0.003930	171	0.184030	-0.282547	171	0.147442
10124/060803163400/analysis/glm_hrf_coefs.nii.gz_2[Run#2Pol#]			99.897508	171	0.085531	99.955951	171	0.060285	99.879756	55	0.094352	99.760076	57	0.131720	99.852648	171	0.067466	99.904116	171	0.058741	99.968591	56	0.028185	99.991087	52	0.041287	99.937367	254	0.044413	100.005408	256	0.070075	99.947223	171	0.047489	100.032886	171	0.064324	99.986366	324	0.101561	99.922006	257	0.060785	99.967106	257	0.044686	100.016897	171	0.067328	99.929554	171	0.072053	99.942909	171	0.078151
10124/060803163400/analysis/glm_hrf_coefs.nii.gz_3[Run#2Pol#]			-0.141012	171	0.317981	-0.076954	171	0.135090	-0.538183	55	0.409419	-0.560886	57	0.272358	-0.361465	171	0.223227	-0.449846	171	0.245565	-0.312658	56	0.109902	-0.565449	52	0.213935	-0.273969	254	0.172370	-0.307751	256	0.307791	-0.310534	171	0.211237	-0.253493	171	0.197568	-0.060920	324	0.368181	-0.309984	257	0.246724	-0.196993	257	0.249014	0.291167	171	0.353625	0.135700	171	0.348533	-0.226436	171	0.238202
10124/060803163400/analysis/glm_hrf_coefs.nii.gz_4[Run#3Pol#]			99.967207	171	0.097564	99.979028	171	0.068707	99.962218	55	0.214365	99.785360	57	0.171527	99.886896	171	0.094013	99.969388	171	0.084121	100.015887	56	0.044101	100.010068	52	0.030998	99.975936	254	0.076512	100.048028	256	0.084812	99.893596	171	0.104213	99.953251	171	0.123414	99.999198	324	0.083625	99.989963	257	0.057009	100.047578	257	0.053839	100.068559	171	0.058272	99.981803	171	0.063405	100.054243	171	0.114446
10124/060803163400/analysis/glm_hrf_coefs.nii.gz_5[Run#3Pol#]			-0.151523	171	0.362927	-0.088337	171	0.145740	-0.511538	55	0.474903	-0.678335	57	0.334899	-0.376714	171	0.268858	-0.457956	171	0.241499	-0.315521	56	0.124277	-0.564789	52	0.217172	-0.267571	254	0.208291	-0.307390	256	0.278941	-0.373829	171	0.258886	-0.272559	171	0.199726	0.059368	324	0.360907	-0.338426	257	0.273517	-0.194336	257	0.252560	0.364243	171	0.387524	0.129411	171	0.374016	-0.209862	171	0.295620
10124/060803163400/analysis/glm_hrf_coefs.nii.gz_6[AScorr#0]			0.110873	171	0.073793	0.048257	171	0.051159	0.122049	55	0.080056	0.210781	57	0.100121	0.154348	171	0.058467	0.075097	171	0.051848	0.045457	56	0.023655	0.039614	52	0.027832	0.080366	254	0.050231	0.047911	256	0.053571	0.077689	171	0.060512	0.061081	171	0.037939	0.079662	324	0.050885	0.061260	257	0.047466	0.042236	257	0.032019	0.030263	171	0.047443	0.071619	171	0.042250	0.077741	171	0.055467
10124/060803163400/analysis/glm_hrf_coefs.nii.gz_7[ASerrorCo]			0.051436	171	0.046706	0.030067	171	0.037499	0.026754	55	0.043127	0.083475	57	0.065934	0.082986	171	0.031954	0.049930	171	0.038799	0.000283	56	0.015095	-0.003859	52	0.016272	0.013812	254	0.024516	-0.039870	256	0.039271	0.039555	171	0.039558	0.011059	171	0.048370	0.057036	324	0.039159	0.020859	257	0.033135	-0.001875	257	0.021604	0.006932	171	0.030864	0.024652	171	0.027261	-0.020794	171	0.077914
10124/060803163400/analysis/glm_hrf_coefs.nii.gz_8[ASerrorUn]			-0.064020	171	0.084251	0.005871	171	0.078175	-0.288882	55	0.230695	-0.215759	57	0.171303	-0.196788	171	0.107038	-0.155001	171	0.136735	-0.127016	56	0.078236	-0.173409	52	0.068361	-0.154391	254	0.135438	-0.241709	256	0.232690	-0.056531	171	0.088623	-0.212694	171	0.146286	-0.089563	324	0.126618	-0.121036	257	0.102408	-0.106758	257	0.071726	-0.070809	171	0.085149	0.001498	171	0.096492	-0.229876	171	0.193039
10124/060803163400/analysis/glm_hrf_coefs.nii.gz_9[VGScorr#0]			0.031417	171	0.031036	0.017457	171	0.037142	0.085812	55	0.047286	0.140167	57	0.068988	0.046976	171	0.032795	0.021753	171	0.025722	0.010586	56	0.014174	-0.001424	52	0.015508	0.023923	254	0.024404	-0.010978	256	0.031265	0.012124	171	0.026286	-0.012317	171	0.026307	0.016371	324	0.034556	0.025864	257	0.024546	0.010770	257	0.021609	-0.032142	171	0.027360	-0.004500	171	0.028173	0.011871	171	0.053617
